Number;Coleccion;Pais;Provincia;Localidad;FechaColecta;Ano_colecta;Latitud;Longitud;Temporalidad;Origen;BIBLIOGRAFIA
106;VEQU_00084;AR;Formosa;El Cantor;2010;2010;-23.452074;-62.175943;Actual;Quiroga 2013;Quiroga, V. A. -2013-. Ecologia y Conservacion del yaguarete -Panthera onca- y el puma -Puma concolor- en el Chaco semiarido argentino: su relacion con la disponibilidad de presas y la presencia humana en la region. Tesis Doctoral para la Universidad Nacional de Cordoba. 216 pags.
107;VEQU_00080;AR;Formosa;El Cantor;2010;2010;-23.429928;-62.21495;Actual;Quiroga 2013;Quiroga, V. A. -2013-. Ecologia y Conservacion del yaguarete -Panthera onca- y el puma -Puma concolor- en el Chaco semiarido argentino: su relacion con la disponibilidad de presas y la presencia humana en la region. Tesis Doctoral para la Universidad Nacional de Cordoba. 216 pags.
108;VEQU_00076;AR;Formosa;El Cantor;2010;2010;-23.406973;-62.161287;Actual;Quiroga 2013;Quiroga, V. A. -2013-. Ecologia y Conservacion del yaguarete -Panthera onca- y el puma -Puma concolor- en el Chaco semiarido argentino: su relacion con la disponibilidad de presas y la presencia humana en la region. Tesis Doctoral para la Universidad Nacional de Cordoba. 216 pags.
109;VEQU_00081;AR;Formosa;El Cantor;2010;2010;-23.403953;-62.227315;Actual;Quiroga 2013;Quiroga, V. A. -2013-. Ecologia y Conservacion del yaguarete -Panthera onca- y el puma -Puma concolor- en el Chaco semiarido argentino: su relacion con la disponibilidad de presas y la presencia humana en la region. Tesis Doctoral para la Universidad Nacional de Cordoba. 216 pags.
110;VEQU_00083;AR;Formosa;El Cantor;2010;2010;-23.40173;-62.28981;Actual;Quiroga 2013;Quiroga, V. A. -2013-. Ecologia y Conservacion del yaguarete -Panthera onca- y el puma -Puma concolor- en el Chaco semiarido argentino: su relacion con la disponibilidad de presas y la presencia humana en la region. Tesis Doctoral para la Universidad Nacional de Cordoba. 216 pags.
111;VEQU_00077;AR;Formosa;El Cantor;2010;2010;-23.364221;-62.177132;Actual;Quiroga 2013;Quiroga, V. A. -2013-. Ecologia y Conservacion del yaguarete -Panthera onca- y el puma -Puma concolor- en el Chaco semiarido argentino: su relacion con la disponibilidad de presas y la presencia humana en la region. Tesis Doctoral para la Universidad Nacional de Cordoba. 216 pags.
112;VEQU_00082;AR;Formosa;El Cantor;2010;2010;-23.3599;-62.269389;Actual;Quiroga 2013;Quiroga, V. A. -2013-. Ecologia y Conservacion del yaguarete -Panthera onca- y el puma -Puma concolor- en el Chaco semiarido argentino: su relacion con la disponibilidad de presas y la presencia humana en la region. Tesis Doctoral para la Universidad Nacional de Cordoba. 216 pags.
113;VEQU_00079;AR;Formosa;El Cantor;2010;2010;-23.352479;-62.244739;Actual;Quiroga 2013;Quiroga, V. A. -2013-. Ecologia y Conservacion del yaguarete -Panthera onca- y el puma -Puma concolor- en el Chaco semiarido argentino: su relacion con la disponibilidad de presas y la presencia humana en la region. Tesis Doctoral para la Universidad Nacional de Cordoba. 216 pags.
114;WALLA_02229;BO;Santa Cruz;El Carmen Rivero Torrez;;;-18.87528;-58.56416;Actual;Wallace et. al. 2013;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
115;SP230;AR;La Rioja;El Chulito 2/ 20 km al norte de Chamical R 33 km 301;PREGUNTAR AñO A SEBA;2009;-30.245869;-66.430166;Actual;DatabaseAMF;
116;MA38;AR;La Rioja;El Palenque- Gral. Juan Facundo Quiroga;17/9/2011;2011;-30.61184;-67.12383;Actual;This work;
117;;AR;Jujuy;El Palmar;ago-88;1988;-24.085255;-64.59544;Actual;Feijo et al, 2015;Vizcaino,1997
118;WALLA_02324;BO;Santa Cruz;El Palmar de las Islas;;;-19.41666667;-60.53333333;Actual;Wallace et. al. 2013;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
119;PERO_00109;AR;Salta;El Rosado;2012;2012;-22.21361;-62.94944;Actual;Santos 2017;NA
120;WALLA_02243;BO;Santa Cruz;El Tuna;;;-16.60749;-59.70295;Actual;Wallace et. al. 2013;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
121;WALLA_02234;BO;Santa Cruz;Espiritu;;;-16.07739;-60.29074;Actual;Wallace et. al. 2013;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
122;WALLA_02313;BO;Santa Cruz;Estacion Isoso;;;-18.41666667;-61.76666667;Actual;Wallace et. al. 2013;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
123;GIOCI_00098;PY;PRESIDENTE HAYES;Estancia 11 de junio;2006;2006;-24.51916667;-59.05555556;Actual;Santos 2017;Unpublisehd data
124;CBF4076;BO;Tarija;Estancia Bolivar;20/8/1991;1991;-21.633333;-62.616667;Actual;This work;
125;;BO;Tarija;Estancia Caballo Nambia;Wetzel work in Chaco between 1973-1977;;-21.634314;-62.957421;Actual;Feijo et al, 2015;
126;WALLA_02213;BO;Santa Cruz;Estancia Cotoca;;;-16.88238889;-58.68986111;Actual;Wallace et. al. 2013;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
127;;AR;Formosa;Estancia Fortin Quebracho;2000?;2000;-24.666667;-59.233333;Actual;Torres & Jayat, 2010;Alvarez et al, 2005
128;;AR;Chaco;Estancia Juramento;;;-25.780361;-61.605869;Actual;Torres & Jayat, 2010;Caziani et al, 2003
