sp_name,x,y
Tolypeutes_matacus,-60.316856,-24.22092
Tolypeutes_matacus,-60.24701,-22.3487
Tolypeutes_matacus,-67.31273,-30.80677
Tolypeutes_matacus,-64.266274,-23.898091
Tolypeutes_matacus,-59.43832,-18.44708
Tolypeutes_matacus,-60.71927,-17.66262
Tolypeutes_matacus,-66.169348,-30.147096
Tolypeutes_matacus,-60.85286,-16.59863
Tolypeutes_matacus,-62.688876,-20.117453
Tolypeutes_matacus,-59.75888889,-22.10361111
Tolypeutes_matacus,-62.527525,-19.433922
Tolypeutes_matacus,-60.6205,-19.29533
Tolypeutes_matacus,-62.014353,-24.850431
Tolypeutes_matacus,-58.801345,-26.307822
Tolypeutes_matacus,-61.716667,-24.316667
Tolypeutes_matacus,-65.918938,-32.39567
Tolypeutes_matacus,-65.470615,-31.358653
Tolypeutes_matacus,-62.194361,-25.870083
Tolypeutes_matacus,-61.788688,-25.423928
Tolypeutes_matacus,-62.48819,-24.41465
Tolypeutes_matacus,-61.8647,-26.21906
Tolypeutes_matacus,-64.9841,-25.04081
Tolypeutes_matacus,-61.493999,-20.074833
Tolypeutes_matacus,-57.916672,-22.33333
Tolypeutes_matacus,-60.53944444,-18.46972222
Tolypeutes_matacus,-65.261976,-32.112244
Tolypeutes_matacus,-67.473675,-30.629633
Tolypeutes_matacus,-61.0992,-16.76608
Tolypeutes_matacus,-61.86666667,-16.7
Tolypeutes_matacus,-60.47432,-16.78843
Tolypeutes_matacus,-58.77473,-18.64491
Tolypeutes_matacus,-60.61127,-16.54216
Tolypeutes_matacus,-58.4961,-16.1472
Tolypeutes_matacus,-62.84917,-22.15861
Tolypeutes_matacus,-60.79008,-16.40976
Tolypeutes_matacus,-61.02121,-16.49835
Tolypeutes_matacus,-60.38762,-17.96309
Tolypeutes_matacus,-62.81307,-22.33612
Tolypeutes_matacus,-63.772226,-26.19907
Tolypeutes_matacus,-63.884876,-30.511511
Tolypeutes_matacus,-56.78895455,-20.77201248
Tolypeutes_matacus,-57.61669,-17.750166
Tolypeutes_matacus,-66.5851,-32.293
Tolypeutes_matacus,-63.2,-18.133333
Tolypeutes_matacus,-58.16594,-19.02333
Tolypeutes_matacus,-63.20827,-28.00258
Tolypeutes_matacus,-59.91724444,-18.03191944
Tolypeutes_matacus,-60.81033,-18.51617
Tolypeutes_matacus,-63.355626,-29.864355
Tolypeutes_matacus,-65.116,-27.466
Tolypeutes_matacus,-64.792924,-28.370212
Tolypeutes_matacus,-63.01754,-22.11139
Tolypeutes_matacus,-63.4833,-22.4
Tolypeutes_matacus,-63.688845,-22.001206
